862 124	Yan Zhang
18 15207	Mattia Palmieri
2449 15211	Wei Fan
20 15212	Dimitris Achlioptas
4979 15213	Carla P. Gomes
462 15214	Henry A. Kautz
9021 15215	Jos¨¦ Luis Ambite
4702 15216	Craig A. Knoblock
21 15217	Haixia Jia
22 15218	Cristopher Moore
269 15221	Bruce W. Porter
170 15222	William Adams
737 15223	Dennis Perzanowski
171 15224	Alan C. Schultz
5723 15229	Wolfgang Wahlster
7230 15230	Jafar Adibi
4003 15231	Hans Chalupsky
4907 15242	Stuart J. Russell
401 15246	Gal A. Kaminka
673 15247	Sarit Kraus
5748 15249	Kagan Tumer
1009 15259	Thomas Hofmann
984 15260	Ioannis Tsochantaridis
4422 15266	Fabrizio Angiulli
24 15273	Carlos Ans¨®tegui
4980 15274	Ram¨®n B¨¦jar
25 15275	C¨¨sar Fern¨¢ndez
26 15283	Alvaro del Val
27 15284	Iv¨¢n Dot¨²
28 15285	Felip Many¨¤
111 15290	Grigoris Antoniou
766 15293	Guido Governatori
2555 15294	Michael J. Maher
4985 15305	Henri Prade
4904 15310	Eyal Amir
541 15324	David W. Aha
4990 15329	Piergiorgio Bertoli
659 15331	Luciano Serafini
3539 15332	Chidanand Apt¨¦
6153 15333	Se June Hong
733 15347	Jianna Zhang
5191 15361	Alan M. Frisch
30 15363	Nicholas L. Armstrong-Crews
31 15364	Kenrick J. Mock
8982 15379	Maria-Esther Vidal
757 15380	Thomas G. Dietterich
33 15381	Mehran Asadi
34 15382	Manfred Huber
8684 15387	Naveen Ashish
260 15391	Daniel S. Weld
36 15392	Robert St. Amant
37 15396	Alexander B. Wood
847 15399	Luke S. Zettlemoyer
9022 15403	Maria Muslea
533 15404	Jean Oh
4703 15405	Steven Minton
39 15406	R. Amit
40 15407	Maja J. Mataric
797 15408	Yolanda Gil
5436 15413	Tom¨¢s E. Uribe
1975 15414	Guizhen Yang
342 15420	Randall Davis
4564 15422	Dana S. Nau
42 15423	Moshe Babaioff
43 15424	Ron Lavi
44 15425	Elan Pavlov
46 15426	Gustave Anderson
47 15427	Andrew Burnheimer
48 15428	Vincent A. Cicirello
49 15429	David Dorsey
50 15430	Christopher Dugan
51 15431	Iris Howley
52 15432	Moshe Kam
53 15433	Joseph Kopena
54 15434	Robert N. Lass
55 15435	Kris Malfettone
56 15436	Andrew Mroczkowski
57 15437	Gaurav Naik
58 15438	Maxim Peysakhov
59 15439	Brian Pyles
60 15440	William C. Regli
61 15441	Evan Sultanik
62 15442	James Thiel
63 15443	Kyle Usbeck
64 15444	Dan Venutolo
65 15445	Marc Winners
67 15446	Saturnino Garcia
68 15447	Joshua Shaffer
69 15448	Kenneth Tsang
70 15449	Leonardo Urbano
71 15450	Jacob Warren
7971 15453	Julia Hirschberg
4959 15459	Fahiem Bacchus
73 15463	Sugato Basu
5855 15465	Chumki Basu
1542 15466	Haym Hirsh
5106 15467	William W. Cohen
117 15468	Craig Boutilier
5087 15475	Joseph Y. Halpern
4523 15476	Daphne Koller
9083 15480	Roberto J. Bayardo Jr.
191 15481	Qiang Yang
404 15493	Raymond J. Mooney
438 15496	Berthe Y. Choueiry
3647 15503	Abraham Bagherjeiran
4964 15505	J. Andrew Bagnell
5437 15510	Sheila A. McIlraith
75 15513	Chris Bailey-Kellogg
76 15514	Naren Ramakrishnan
4968 15516	Christopher Bailey-Kellogg
4970 15524	Delbert D. Bailey
4971 15525	V¨ªctor Dalmau
4972 15526	Phokion G. Kolaitis
183 15530	J. Christopher Beck
228 15531	Andrew J. Davenport
211 15540	Pierre Marquis
79 15545	Minqing Hu
4909 15550	Judea Pearl
4503 15556	Risto Miikkulainen
1030 15560	Lisa Ballesteros
81 15565	Shumeet Baluja
82 15570	Henry A. Rowley
84 15571	Nadya Belov
10017 15575	Robert Neches
87 15582	Bikramjit Banerjee
88 15583	Jing Peng
5168 15584	Rachel Ben-Eliyahu-Zohary
5183 15588	Didier Dubois
91 15592	Chitta Baral
5220 15593	J¨¦r?me Lang
165 15594	Alessandro Saffiotti
92 15596	Thomas Eiter
93 15597	Jicheng Zhao
742 15601	Tran Cao Son
95 15604	Michael Gelfond
787 15609	Nam Tran
743 15610	Le-Chi Tuan
97 15615	Russell Bent
98 15616	Pascal Van Hentenryck
100 15637	Cheuk Yiu Ip
5630 15641	Cheryl E. Martin
5311 15645	Jihie Kim
8131 15655	Adele E. Howe
6501 15657	Wai Lam
5066 15662	James C. Lester
5628 15663	Torsten Schaub
912 15672	Cyrus Shahabi
4726 15675	Theodore J. Perkins
4930 15676	Shlomo Zilberstein
6411 15686	Stephen J. Buckley
810 15689	Hector Geffner
5238 15694	Rene Quiniou
106 15698	Christian Bessi¨¨re
2322 15701	Marie-Odile Cordier
2188 15702	Remi Coletta
2189 15703	Fr¨¦d¨¦ric Koriche
124 15704	Barry O'Sullivan
102 15705	Lucas Bordeaux
103 15706	Marco Cadoli
104 15707	Toni Mancini
107 15708	Emmanuel Hebrard
108 15709	Brahim Hnich
109 15710	Toby Walsh
5857 15714	Alina Beygelzimer
4309 15715	John Langford
3540 15716	Bianca Zadrozny
9886 15717	Alan Borning
5864 15734	Raj Bhatnagar
5631 15736	R. Peter Bonasso
2259 15739	Lihong Li
4771 15740	Michael L. Littman
112 15749	Antonis Bikakis
3692 15751	Mikhail Bilenko
131 15752	Ronen I. Brafman
4999 15753	Darse Billings
5000 15755	Jonathan Schaeffer
608 15756	Duane Szafron
4480 15757	Richard Dearden
4524 15759	Nir Friedman
114 15764	Arnold Binas
5038 15768	Raymond Reiter
305 15770	Sebastian Thrun
118 15773	Rob Shields
5410 15775	James Bowen
5411 15783	Chavalit Likitvivatanavong
121 15787	Andrew McCallum
125 15788	Simon N. Foley
127 15791	Michael H. Bowling
128 15792	Peter McCracken
838 15795	Dana F. Wilkinson
4401 15796	Ali Ghodsi
133 15800	Gheorghe Tecuci
134 15801	Mihai Boicu
552 15804	Brian C. Williams
3871 15807	Andrew W. Moore
435 15823	Hector J. Levesque
4326 15830	Eric Bloedorn
4981 15839	Carmel Domshlak
2292 15841	Solomon Eyal Shimony
161 15844	Manuela M. Veloso
5329 15861	Thomas Dean
5720 15863	Benjamin W. Wah
135 15864	Cindy Ayers
136 15865	Dorin Marcu
137 15866	Cristina Boicu
138 15867	Marcel Barbulescu
139 15868	Bogdan Stanescu
140 15869	William Wagner
141 15870	Vu Le
142 15871	Denitsa Apostolova
143 15872	Adrian Ciubotariu
5336 15876	David Kortenkamp
444 15878	Fangzhen Lin
5802 15883	Felix Brandt
725 15887	Gregory Dudek
4745 15888	Nicholas Roy
726 15889	Robert Sim
5047 15896	Rodrigo de Salvo Braz
5048 15897	Dan Roth
5566 15899	Vasin Punyakanok
146 15901	Darius Braziunas
149 15904	Gerhard Brewka
150 15905	Ilkka Niemel?
152 15907	Menkes van den Briel
153 15908	Romeo Sanchez Nigenda
154 15909	Minh Binh Do
155 15910	Subbarao Kambhampati
7448 15917	Eric Brill
9203 15921	Michael L. Brodie
8092 15922	Gerald DeJong
4708 15926	Jennifer G. Dy
5617 15940	Brian Scassellati
1184 15946	W. Bruce Croft
157 15949	Laura E. Brown
158 15950	Ioannis Tsamardinos
159 15951	Constantin F. Aliferis
162 15952	Brett Browning
163 15953	Ling Xu
166 15954	Mathias Broxvall
167 15955	Silvia Coradeschi
168 15956	Lars Karlsson
5344 15957	Peter Jonsson
7139 15975	Werner Nutt
172 15978	Magdalena D. Bugajska
173 15979	Scott Thomas
174 15980	J. Gregory Trafton
176 15984	Hung Hai Bui
177 15986	Svetha Venkatesh
178 15987	Dinh Q. Phung
455 15989	Vadim Bulitko
4549 15993	David C. Wilkins
2174 15997	Wray L. Buntine
791 15998	Wolfram Burgard
451 15999	Dieter Fox
436 16001	Gerhard Lakemeyer
1336 16038	James P. Callan
4792 16039	Paul E. Utgoff
181 16041	Ellen Campana
411 16043	Jason Campbell
3819 16047	Adrian Silvescu
5149 16048	Sandra Carberry
1462 16049	Jaime G. Carbonell
184 16050	Tom Carchrae
4841 16053	Claire Cardie
186 16055	Giuseppe Carenini
187 16056	Rita Sharma
189 16057	Mark James Carman
988 16058	David Carmel
7636 16059	Shaul Markovitch
665 16067	Leslie Pack Kaelbling
311 16078	Jes¨²s Cerquides
598 16081	Angelo Oddi
534 16082	Stephen F. Smith
1921 16085	Yahiko Kambayashi
4379 16088	Sargur N. Srihari
192 16092	Xiaoyong Chai
4492 16094	Ronald Parr
5072 16101	Hei Chan
359 16102	Adnan Darwiche
592 16107	Hwee Tou Ng
5623 16122	Eugene Charniak
5210 16124	Robert P. Goldman
10104 16128	Mike Perkowitz
5320 16133	Mark E. Stickel
194 16142	Hubie Chen
7987 16144	Vasant Dhar
196 16151	Jimming Cheng
197 16152	Winston Cheng
198 16153	Radhika Nagpal
5082 16155	Kenil C. K. Cheng
3576 16162	David Maxwell Chickering
9932 16163	Steve Chien
5619 16164	Steve A. Chien
7560 16169	Hai Leong Chieu
4547 16176	Jesus A. Gonzalez
830 16177	Lawrence B. Holder
820 16198	Jennifer Chu-Carroll
2078 16201	Tat-Seng Chua
4991 16214	Alessandro Cimatti
4992 16215	Marco Roveri
4993 16216	Paolo Traverso
354 16224	Tad Hogg
390 16225	Bradley J. Clement
3613 16240	Paul R. Cohen
5099 16244	David A. Cohen
5100 16245	Peter Jeavons
5601 16249	Philip R. Cohen
3614 16259	Niall M. Adams
4482 16260	Yoram Singer
567 16268	Tucker R. Balch
4476 16270	Dennis DeCoste
287 16271	Kenneth D. Forbus
202 16277	Jonathan Derryberry
7873 16279	Margaret E. Connell
208 16283	Ion Constantinescu
209 16284	Boi Faltings
831 16285	Diane J. Cook
212 16311	Sylvie Coste-Marquis
213 16312	Daniel Le Berre
214 16313	Florian Letombe
216 16314	Caroline Devred
217 16315	S¨¦bastien Konieczny
218 16316	Marie-Christine Lagasquie-Schiex
524 16319	Barry Smyth
545 16322	Norman Y. Foo
9937 16328	Dimitris Plexousakis
4441 16330	Mark Craven
6025 16334	Kamal Nigam
4528 16335	Se¨¢n Slattery
500 16336	Susan Craw
5542 16342	Peter F. Patel-Schneider
220 16344	Beau Crawford
221 16345	Kai Miller
222 16346	Pradeep Shenoy
223 16347	Rajesh P. N. Rao
2079 16355	Hang Cui
2584 16356	Mayur Datar
5275 16358	James P. Delgrande
225 16359	Aron Culotta
4418 16362	James Cussens
4431 16363	Ashwin Srinivasan
857 16381	Dit-Yan Yeung
5064 16396	Charles B. Callaway
239 16399	Matthew L. Ginsberg
579 16401	Rajarshi Das
4473 16403	Denver Dash
5350 16404	Branislav Kveton
5933 16410	Piew Datta
7637 16415	Dmitry Davidov
230 16416	Ian Davidson
6914 16422	S. S. Ravi
635 16423	Andrew Y. Ng
717 16425	Ernest Davis
5353 16469	Abhaya C. Nayak
232 16501	Bistra N. Dilkina
233 16502	William S. Havens
1888 16503	Chris H. Q. Ding
2196 16504	Wei Peng
240 16509	Heidi E. Dixon
241 16510	David K. Hofer
242 16511	Eugene M. Luks
243 16512	Andrew J. Parkes
730 16523	Pedro Domingos
9951 16524	Stanley Kok
731 16527	Parag Singla
9919 16528	Michael J. Pazzani
8017 16535	Bonnie J. Dorr
246 16537	Piotr J. Gmytrasiewicz
6228 16559	Maheshkumar Sabhnani
1158 16564	Susan T. Dumais
6400 16567	Stephen D. Durbin
6401 16568	Doug Warner
6402 16569	J. Neal Richter
6641 16571	Jaeho Lee
439 16577	Eugene C. Freuder
248 16578	Stefan Edelkamp
249 16579	Shahid Jabbar
250 16580	Alberto Lluch-Lafuente
4842 16581	Stefan Schr?dl
252 16588	Hans Tompits
253 16589	Stefan Woltran
1101 16595	Jacob Eisenstein
254 16596	Michael Fink
767 16599	Kewen Wang
4742 16626	Juho Rousu
813 16633	Michael P. Wellman
537 16639	Martha E. Pollack
4961 16641	Jeffrey S. Rosenschein
256 16646	Marco Ernandes
257 16647	Giovanni Angelini
258 16648	Marco Gori
3060 16651	V. S. Subrahmanian
6049 16653	Kave Eshghi
312 16661	Juan A. Rodr¨ªguez-Aguilar
5945 16667	Eric Mjolsness
395 16668	Donald Perlis
261 16669	Oren Etzioni
7649 16670	Michele Banko
262 16671	Michael J. Cafarella
263 16672	Doug Downey
264 16673	Ana-Maria Popescu
265 16674	Tal Shaked
266 16675	Stephen Soderland
267 16676	Alexander Yates
7106 16681	Ronald Fagin
7113 16682	Moshe Y. Vardi
3585 16694	Fang Chu
1277 16695	Haixun Wang
473 16696	Philip S. Yu
270 16697	James Fan
1928 16699	John Yen
5005 16703	Jimmy Ho-Man Lee
5083 16704	Peter J. Stuckey
5184 16706	H¨¦l¨¨ne Fargier
5369 16707	Thomas Schiex
1123 16708	Robert G. Farrell
6038 16712	Andrew Fast
3316 16714	Usama M. Fayyad
5201 16721	Kathleen McKeown
7972 16722	Rebecca J. Passonneau
649 16728	Charles Rich
273 16735	Ariel Felner
274 16736	Ram Meshulam
275 16737	Robert C. Holte
4713 16750	Alan Fern
2230 16754	Doina Precup
317 16756	Enrico Giunchiglia
279 16765	Pranam Kolari
280 16766	Akshay Java
281 16767	Yun Peng
680 16775	Paul E. Rybski
3637 16782	Douglas H. Fisher
284 16788	Will Fitzgerald
285 16789	Daniel Lemire
5641 16799	Holger Wache
288 16806	Jeffrey M. Usher
289 16807	Emmett Tomai
1999 16832	Nicholas Kushmerick
295 16841	Avi Pfeffer
3603 16843	Ron Kohavi
2682 16849	Georg Gottlob
1091 16850	Wolfgang Nejdl
5052 16856	Irina Rish
291 16865	Akinori Fujino
292 16866	Naonori Ueda
293 16867	Kazumi Saito
7638 16885	Evgeniy Gabrilovich
296 16891	Ya'akov Gal
297 16892	Francesca Marzo
298 16893	Barbara J. Grosz
5202 16895	Michel Galley
5466 16897	Antony Galton
300 16900	Artur S. d'Avila Garcez
301 16901	Dov M. Gabbay
